種	NO.	カード名	強さ/テク	タイプ	*	データ	*	Dinosaur King 2007 CODE39  Species	No.	Name of card	Strength/Tech	Type	*	Data	*
竜	22	アリオラムス	1000	カウンター	*	SEGAHT4AU9JP	*	Dragon	02 2 2	Ariolamous	1000	Counter	*	SEGAHT4AU9JP	*
竜	23	パタゴサウルス	1200	そっこう	*	SEGAK8KGTCXK	*	Dragon	02 3	Patagosaurus	1200	So, let's go.	*	SEGAK 8KG TCXK	*
竜	24	アリノケラトプス	1600	ピンチ	*	SEGAR95ZXQV2	*	Dragon	0 24	Agnokeratops	1600	Pinch	*	SEGAR95ZXQV2	*
竜	25	ノドサウルス	1400	そっこう	*	SEGA8UE3HTUK	*	Dragon	0 25	Nodosaurus	1400	So, let's go.	*	Sega 8ue 3 HTUK	*
竜	26	アルティリヌス	1800	ピンチ	*	SEGA39DVTFPO	*	Dragon	26	Altilinian	1800	Pinch	*	Sega 39 DVF FPO	*
竜	27	メガラプトル	2000	カウンター	*	SEGA69HADJP4	*	Dragon	0 27	Megaraptor	2000	Counter	*	SEGA69 HADJP4	*
技	52	トリプルヘッドバッド	!	-	*	SEGATG4MZDCU	*	Techniques	05 2	Triple Headbad	!	-	*	SEGA T T 4 MZ D C	*
技	53	サウラのいやし	!	-	*	SEGA54B6YWHX	*	Techniques	53	Saura's healing	!	-	*	SEGA54B6YWHX	*
技	54	わざふうじ	!	-	*	SEGAUBXVSTXW	*	Techniques	05 4	わざふうじ	!	-	*	Sega B X V TX W	*
草	75	スーパーインパクト	-	-	*	SEGAAVYQF3IS	*	Grass	75	Super Impact	-	-	*	Segaavy QF3 is	*
風	80	ダイノイリュージョン	-	-	*	SEGA8DGY5JUR	*	The wind.	80	Dynoidylation	-	-	*	Sega 8dgy 5Jur	*
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
竜	-	ディノニクス	2000	ピンチ	*	SEGA190AG42O	*	Dragon	-	Dinonics	2000	Pinch	*	Sega 190 AG42O	*
竜	1	ティラノサウルス	2000	カウンター	*	SEGAEF4BFWU0	*	Dragon	1	Tyrannosaurus	2000	Counter	*	SEGAEF 4BFWU0	*
竜	2	スティラコサウルス	2000	ピンチ	*	SEGAZPTWJVRG	*	Dragon	2	Silacosaurus	2000	Pinch	*	SegazptwJVRG	*
竜	3	パラサウロロフス	2000	ピンチ	*	SEGAJIQWOU02	*	Dragon	3	Palasaurus	2000	Pinch	*	SEGAJI Q WOU02	*
竜	4	アマルガサウルス	1800	ピンチ	*	SEGAYCSP42UQ	*	Dragon	4	Amalgasaurus	1800	Pinch	*	SEGAYCSP42UQ	*
竜	5	パキリノサウルス	1800	カウンター	*	SEGAHJR5BHUC	*	Dragon	5	Paquilinosaurus	1800	Counter	*	Segah JR 5BHUC	*
竜	6	ステゴサウルス	1800	ピンチ	*	SEGA8HYWB3LY	*	Dragon	6	Stegosaurus	1800	Pinch	*	Sega 8hy WB3LY	*
竜	7	バリオニクス	1600	カウンター	*	SEGAOW5047CC	*	Dragon	7	Barionic	1600	Counter	*	SEGAOW5047CC	*
竜	8	エドモントニア	1600	そっこう	*	SEGAL1K3DUYH	*	Dragon	8	Edmontonia	1600	So, let's go.	*	Segal 1K3DuryH	*
竜	9	ケラトサウルス	1600	ピンチ	*	SEGAH1K17EW7	*	Dragon	9	Keratosaurus	1600	Pinch	*	SEGAH1K17EW7	*
竜	10	トリケラトプス	1400	カウンター	*	SEGAD8HA6Y59	*	Dragon	10	Triceratops	1400	Counter	*	SEGAD 8HA6Y59	*
竜	11	アンキロサウルス	1400	ピンチ	*	SEGA7WFFT71H	*	Dragon	01 1	Ankyrosaurus	1400	Pinch	*	SEGA 7WFFT71H	*
竜	12	アロサウルス	1400	そっこう	*	SEGA50E8BFLE	*	Dragon	01 2	Allosaurus	1400	So, let's go.	*	Sega 50E 8BFBLE	*
竜	13	ギガノトサウルス	1400	カウンター	*	SEGA9B2CB4IX	*	Dragon	13	Giganotosaurus	1400	Counter	*	SEGA9B2CB4IX	*
竜	14	スコミムス	1400	ピンチ	*	SEGAL90WY24W	*	Dragon	14	Scomighs	1400	Pinch	*	SEGAL 90WY24W	*
竜	15	イグアノドン	1400	そっこう	*	SEGA3O0PTOIU	*	Dragon	15	Iguanodon	1400	So, let's go.	*	Sega 3O0 PTOIU	*
竜	16	タルボサウルス	1200	そっこう	*	SEGARZLA6RON	*	Dragon	16	Tarbosaurus	1200	So, let's go.	*	Segarzla 6ron	*
竜	17	カマラサウルス	1200	ピンチ	*	SEGA5W12WGQ5	*	Dragon	17	Camarasaurus	1200	Pinch	*	SEGA5W12WGQ5	*
竜	18	チンタオサウルス	1200	カウンター	*	SEGAWETV364B	*	Dragon	18	Tintaosaur	1200	Counter	*	Segawe TV 364B	*
竜	19	ゴルゴサウルス	1000	カウンター	*	SEGA7CTESGHS	*	Dragon	19	Golgosaurus	1000	Counter	*	SEGA7 CTESGHS	*
竜	20	ウエロサウルス	1000	ピンチ	*	SEGAZWF51NGB	*	Dragon	20	Aerosaurus	1000	Pinch	*	SEGAZWF51NGB	*
竜	-	マイアサウラ	1400	ピンチ	*	SEGAJAF0UYWH	*	Dragon	-	Maiasaura	1400	Pinch	*	Sega Ja F0 Uy Why	*
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
技	28	テイルスマッシュ	200	-	*	SEGA6GGPXC4U	*	Techniques	28	Tails Mash	200	-	*	SEGA 6GGP XC 4U	*
技	29	ストンピングハンマー	500	-	*	SEGA4IH4WP0G	*	Techniques	29	Stomping hammer	500	-	*	SEGA4IH4WP0G	*
技	30	ダイビングプレス	800	-	*	SEGAF5BNP16W	*	Techniques	30	Diving Press	800	-	*	SEGAF5BNP16W	*
技	31	必殺ふうじ	!	-	*	SEGA2U1DCGHM	*	Techniques	31	Special killing fuji	!	-	*	SEGA2U1DCGHM	*
技	32	最後の力	!	-	*	SEGAGED1DAVL	*	Techniques	32	The Last Power.	!	-	*	Segaged 1 DaVL	*
技	33	カミカゼタックル	200	-	*	SEGASVBUSIHI	*	Techniques	33	Kamikaze Tackle	200	-	*	Segav Busihi	*
技	34	デスグラインド	500	-	*	SEGA87BMGLVU	*	Techniques	0 34	Desgrind	500	-	*	Sega 87BMGLVU	*
技	35	ヘルサンド	800	-	*	SEGAKXA0L3KE	*	Techniques	0 35	Helsand	800	-	*	Sega K X A 0L 3KE	*
技	36	あいこやぶり	!	-	*	SEGA6YPD2VYR	*	Techniques	36	Aikoyaburi	!	-	*	Sega 6YPD2VYR	*
技	37	必殺よこく	!	-	*	SEGAJ1UB94D1	*	Techniques	37	Special killing yokoku	!	-	*	SEGAJ1UB94D1	*
技	38	ネッククラッシャー	200	-	*	SEGAJ84LNKIB	*	Techniques	38	Neck crusher	200	-	*	Sega J84 L N K IB	*
技	39	アトミックボム	500	-	*	SEGAJFIW9CRI	*	Techniques	39	Atomic bomb	500	-	*	Sega J FI W 9 CRI	*
技	40	ダイノスイング	800	-	*	SEGAJKCYE1TR	*	Techniques	0 40	Dino Swing	800	-	*	Sega J K Cye 1 TR	*
技	41	あせらせ	!	-	*	SEGA7AMTDNBW	*	Techniques	04 1	Let's fuck off.	!	-	*	Sega 7 AMT D N B W	*
技	42	はんげきかいふく	!	-	*	SEGA14I8SEWD	*	Techniques	42	HANGEKIKAIFUKU	!	-	*	Sega 14I 8SEWD	*
技	43	アタックアップ	!	-	*	SEGAN0M8COJW	*	Techniques	43	Attack up	!	-	*	SEGAN0M8COJW	*
技	44	ディフェンスアップ	!	-	*	SEGAFHP7SYJQ	*	Techniques	44	Defensive up	!	-	*	SEGA F HP 7 SYJQ	*
技	45	エレメントパワー	!	-	*	SEGAS5H7Q3EE	*	Techniques	45	Elemental power	!	-	*	SEGAS5H7Q3EE	*
技	46	パワードレイン	!	-	*	SEGAJ9VHC2BK	*	Techniques	46	Powerdrain	!	-	*	SEGAJ9VHC2BK	*
技	47	ベノムファング	!	-	*	SEGA7B191V9Y	*	Techniques	47	Benomfang	!	-	*	SEGA7B191V9Y	*
技	48	百烈ビンタ	!	-	*	SEGAW0LPP87B	*	Techniques	48	Hyakutsuri Binta	!	-	*	SEGAW0LP 87B	*
技	49	かいふく	!	-	*	SEGAOJ0J6XRD	*	Techniques	49	Kaifuku	!	-	*	SEGAOJ0J6XRD	*
技	50	パウパウパワー	!	-	*	SEGA8ICDMAEJ	*	Techniques	50	Pau Pau Power	!	-	*	SEGA8 ICDMAEJ	*
技	51	わざポカーン	!	-	*	SEGA5DVF0NPQ	*	Techniques	05 1	わざとポカ	!	-	*	SEGA5DVF0NPQ	*
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
炎	55	ビッグファイアキャノン	-	-	*	SEGA4M5FPGZM	*	Flames	05 5	Big Fire Cannon	-	-	*	SEGA4M5FPGZM	*
炎	56	ビッグファイアボム	-	-	*	SEGAGZDOJW3B	*	Flames	56	Big Firebomb	-	-	*	Sega GZDOJW3B	*
炎	57	フライトブレイズスピン	-	-	*	SEGAJHBV2R11	*	Flames	05 7	Flight Blaise Spin	-	-	*	SEGA JHBV2R11	*
炎	58	ボルケーノバースト	-	-	*	SEGAUP5SR4B7	*	Flames	58	Volcanoburst	-	-	*	SEGAUP 5SR4B7	*
水	59	ウオーターソード	-	-	*	SEGA5WMYVFLA	*	Water	59	Waterswords	-	-	*	Sega 5W My V Fula	*
水	60	トラジェディーオブザボール	-	-	*	SEGATISZT9L3	*	Water	0 60	Tragedy of the Ball	-	-	*	SEGATISZ T9L3	*
水	61	フラッドストラップ	-	-	*	SEGAJR91IFFL	*	Water	06 1	Flood straps	-	-	*	Sega JR 91 Iiffl	*
水	62	ショックウェーブ	-	-	*	SEGAYB17CGCR	*	Water	06 2	Shockwave	-	-	*	SEGAYB 17CGCR	*
雷	63	ギガライディーン	-	-	*	SEGASYODRU3Y	*	Thunder	06 3	Gigalyredin	-	-	*	Sega Syodru 3Y	*
雷	64	サンダーバズーカ	-	-	*	SEGALN1S1J7Y	*	Thunder	64	Thunderbazooka	-	-	*	Sega L N 1 S 1 J 7Y	*
雷	65	ライトニングスラスト	-	-	*	SEGAD9ABA24D	*	Thunder	0 5 5	Lightning thrust	-	-	*	SEGAD9ABA24D	*
雷	66	エレクトリックチェージ	-	-	*	SEGAIWDDYXS4	*	Thunder	66	Electric Chezi	-	-	*	SEGAIWDDYXS4	*
土	67	ラッシュスパイン	-	-	*	SEGALVKMZDI9	*	Sat	67	Rush Spine	-	-	*	Segalvk MZDI9	*
土	68	ビッグモールアタック	-	-	*	SEGAQP1G1H0S	*	Sat	68	Big Mall Attack	-	-	*	SEGAQP1G1H0S	*
土	69	ヘルアースクエイク	-	-	*	SEGA5D8FOM6V	*	Sat	69	Heller's Quake	-	-	*	SEGA5D8FOM6V	*
土	70	アースバリア	-	-	*	SEGAX2OS60HJ	*	Sat	70	Earthbarrier	-	-	*	SEGAX2OS60HJ	*
草	71	エッグスリボルバー	-	-	*	SEGA9DNXWFSO	*	Grass	71	Eggs Sribolber	-	-	*	SEGA9 DNX WFSO	*
草	72	ビッグフットアサルト	-	-	*	SEGACEM3MLDV	*	Grass	72	Bigfoot Assault	-	-	*	Seg Ace M 3 MLDV	*
草	73	メタルウイング	-	-	*	SEGAJAMHT4GM	*	Grass	73	Metal Wing	-	-	*	Sega Jamcht 4GM	*
草	74	ネイチャーズブレッシング	-	-	*	SEGAT6YZKGAT	*	Grass	74	Nature's Blessing	-	-	*	Segat 6YZKGT	*
