[Dinosaur King CODE39]  Species	強さ/テク	NO.		Name of card	データ	*	データ	NO.	Dinosaur King 2007 CODE39  Species	Name of card	Strength/Tech	Type
Dragon	2000	01P		Tyrannosaurus (locate)	PYBT6SBDGRE2	?	SEGAHT4AU9JP	22	Dragon	Ariolamous	1000	Counter
Dragon	2000	04P		Saicania (rodete)	HS87Y5GFN984	?	SEGAK8KGTCXK	23	Dragon	Patagosaurus	1200	So, let's go.
Dragon	1800	08P		Amalgasaurus (locate)	GREUIB2FCFD7	?	SEGAR95ZXQV2	24	Dragon	Agnokeratops	1600	Pinch
Dragon	1800	11P		Lambeosaurus (locatee)	JFDUYHJ8JKL0	?	SEGA8UE3HTUK	25	Dragon	Nodosaurus	1400	So, let's go.
Dragon	1600	15P		Torosaurus (locate)	CIYU2ODERJM0	?	SEGA39DVTFPO	26	Dragon	Altilinian	1800	Pinch
Dragon	1600	18P		Keratosaurus (locate)	UECFD74JKBN3	?	SEGA69HADJP4	27	Dragon	Megaraptor	2000	Counter
Thunder	-	01P		Gigalyredine (roquette)	V1VNJ7GFDVS9	?	SEGATG4MZDCU	52	Techniques	Triple Headbad	!	-
The wind.	-	01P		Kamaitachi (locate)	NXZF87DFVJP5	?	SEGA54B6YWHX	53	Techniques	Saura's healing	!	-
Sat	-	01P		Big Mall Attack (roquette)	SGDJFBTD67T2	?	SEGAUBXVSTXW	54	Techniques	わざふうじ	!	-
Flames	-	01P		Big Firebomb (roquette)	EJ6KNHGT83V4	?	SEGAAVYQF3IS	75	Grass	Super Impact	-	-
Water	-	01P		Flood strap (roquette)	HJBV73UPA3G8	?	SEGA8DGY5JUR	80	The wind.	Dynoidylation	-	-
Grass	-	01P		Metal Wing (roquette)	KGQ7XR9DHWH6	?	-	-	-	-	-	-
-	-	-		-	-	?	SEGA190AG42O	-	Dragon	Dinonics	2000	Pinch
Dragon	2000	1		Tyrannosaurus (2005)	SEGA6SBDGRE2	OK	SEGAEF4BFWU0	1	Dragon	Tyrannosaurus	2000	Counter
Dragon	2000	4		Saicania (2005 location)	SEGAY5GFN984	OK	SEGAZPTWJVRG	2	Dragon	Silacosaurus	2000	Pinch
Dragon	1800	8		Amalgasaurus (2005 location)	SEGAIB2FCFD7	OK	SEGAJIQWOU02	3	Dragon	Palasaurus	2000	Pinch
Dragon	1800	11		Lambeosaurus (2005 location)	SEGAYHJ8JKL0	OK	SEGAYCSP42UQ	4	Dragon	Amalgasaurus	1800	Pinch
Dragon	1600	15		Torosaurus (2005 location)	SEGA2ODERJM0	OK	SEGAHJR5BHUC	5	Dragon	Paquilinosaurus	1800	Counter
Dragon	1600	18		Keratosaurus (2005 location)	SEGAD74JKBN3	OK	SEGA8HYWB3LY	6	Dragon	Stegosaurus	1800	Pinch
Dragon	1400	21		Triceratops (2005)	SEGA8AEBTRW7	OK	SEGAOW5047CC	7	Dragon	Barionic	1600	Counter
Dragon	1400	24		Allosaurus (2005)	SEGAS1RVOKZ2	OK	SEGAL1K3DUYH	8	Dragon	Edmontonia	1600	So, let's go.
Dragon	1400	25		Giganotosaurus (2005 location)	SEGABYSFYD09	OK	SEGAH1K17EW7	9	Dragon	Keratosaurus	1600	Pinch
Dragon	1400	27		Kasmosaurus (2005 location)	SEGACBGHVNA3	OK	SEGAD8HA6Y59	10	Dragon	Triceratops	1400	Counter
Dragon	1400	28		Kentorosaurus (2005 location)	SEGAIANJ6DN8	OK	SEGA7WFFT71H	11	Dragon	Ankyrosaurus	1400	Pinch
Dragon	1400	30		Neovenatl (2005 location)	SEGAMD4EK9F1	OK	SEGA50E8BFLE	12	Dragon	Allosaurus	1400	So, let's go.
Dragon	1200	31		Talbosaurus (2005)	SEGADSDHJV17	OK	SEGA9B2CB4IX	13	Dragon	Giganotosaurus	1400	Counter
Dragon	1200	32		Camarasaurus (2005 location)	SEGANVB6SAU2	OK	SEGAL90WY24W	14	Dragon	Scomighs	1400	Pinch
Dragon	1200	34		Sauroperta (2005 location)	SEGARCHJWNO9	IDK	SEGA3O0PTOIU	15	Dragon	Iguanodon	1400	So, let's go.
Dragon	1200	35		Chintaosaurus (2005)	SEGAT8FDC1V5	OK	SEGARZLA6RON	16	Dragon	Tarbosaurus	1200	So, let's go.
Dragon	1000	38		The Italian (2005)	SEGAD2IA1VB0	IDK	SEGA5W12WGQ5	17	Dragon	Camarasaurus	1200	Pinch
Dragon	1000	41		Owlanosaurus (2005 location)	SEGA31BKKOS3	OK	SEGAWETV364B	18	Dragon	Tintaosaur	1200	Counter
Dragon	2000	3		Carnotaurus	SEGA5JYTDRJ5	OK	SEGA7CTESGHS	19	Dragon	Golgosaurus	1000	Counter
Dragon	1800	5		Stegosaurus	SEGAFCSUY6H8	OK	SEGAZWF51NGB	20	Dragon	Aerosaurus	1000	Pinch
Dragon	1600	8		Shantungosaurus	SEGARJK2YGS9	IDK	SEGAJAF0UYWH	-	Dragon	Maiasaura	1400	Pinch
