Liste des jeux
Titre 	Développeur 	Éditeur 	Système 	Genre 	Date
Crazy Taxi High Roller 	Hitmaker 	Sega 	Chihiro 		2003
Ghost Squad 	Sega-AM2 	Sega 	Chihiro 		2004
Ghost Squad : Version A 	Sega-AM2 	Sega 	Chihiro 		2005
Gundam: Battle Operating Simulator 	Banpresto 	Sega 	Chihiro 		2005
MJ2 	Sega 	Sega 	Chihiro Satellite Terminal 		2003
MJ3 	Sega 	Sega 	Chihiro Satellite Terminal 		2005
MJ3 Evo 	Sega 	Sega 	Chihiro Satellite Terminal 		2007
Mobile Suit Gundam 0079 	Banpresto / Dimps 	Sega 	Chihiro 		2006
Ollie King 	Amusement Vision / Smilebit 	Sega 	Chihiro 		2004
OutRun 2 	Sega-AM2 	Sega 	Chihiro 		2003
OutRun 2 SP 	Sega-AM2 	Sega 	Chihiro 		2004
Quest for D: The Battle Kingdom 	Sega 	Sega 	Chihiro Satellite Terminal 		2007
Quest Of D 	Sega 	Sega 	Chihiro Satellite Terminal 		2004
Quest Of D Ver.2.0 	Sega 	Sega 	Chihiro Satellite Terminal 		2005
Sangokushi Taisen 	Sega 	Sega 	Chihiro Satellite Terminal 		2005
Sangokushi Taisen 2 	Sega 	Sega 	Chihiro Satellite Terminal 		2006
Sangokushi Taisen 3 	Sega 	Sega 	Chihiro Satellite Terminal 		2008
Sega Golf Club Network Pro Tour 	Sega 	Sega 	Chihiro Satellite Terminal 		2004
Sega Golf Club Version 2006 : Next Tours 	Sega 	Sega 	Chihiro Satellite Terminal 		2006
The House of the Dead III 	Wow Entertainment 	Sega 	Chihiro 		2003
Virtua Cop 3 	Sega-AM2 	Sega 	Chihiro 		2003
Wangan Midnight: Maximum Tune / Wangan Midnight: Maxi Boost 	Namco 	Sega 	Chihiro 		2004
Wangan Midnight: Maximum Tune 2 / Wangan Midnight: Maxi Boost 2 	Namco 	Sega 	Chihiro 		2005
Wangan Midnight: Maximum Tune 2 Ver.B / Wangan Midnight: Maxi Boost 2 Ver.B 	Namco 	Sega 	Chihiro 		2005 
