# NAOMI
Game 	DEmul[1] 	Flycast[2] 	MAME[3] 	Ports[4]
18 Wheeler: American Pro Trucker 	✓ 	✓ 	✓ 	✓
Akatsuki Blitzkampf Ausf.Achse/Akatsuki Denkou Senki 	✓ 	✓ 	✗ 	✗
Boat Race Ocean Heats 	✓ 	✗ 	✗ 	✗
Charge 'N Blast 	✓ 	✗ 	✗ 	✓
Cosmic Smash 	✓ 	✓ 	✗ 	✓
Crackin' DJ 	✓ 	✓ 	✗ 	✗
Crazy Taxi 	✓ 	✓ 	✓ 	✓
Cyber Troopers Virtual-On: Oratorio Tangram M.S.B.S. Ver. 5.66 	✓ 	✓ 	✗ 	✓
Dead or Alive 2 	✓ 	✓ 	✗ 	✓
Dead or Alive 2 Millennium 	✓ 	✓ 	✗ 	✗
Death Crimson OX 	✓ 	✓ 	✗ 	✓
Dengen Tenshi Taisen Mahjong Shangri-La 	✓ 	~ 	✗ 	✓
Dynamite Baseball NAOMI 	✓ 	~ 	✗ 	✗
Dynamite Baseball '99 	✓ 	✗ 	✗ 	✗
Dynamite Deka EX: Asian Dynamite 	✓ 	✓ 	✗ 	✗
F1 World Grand Prix 	✓ 	✗ 	✗ 	✓
Fish Live 	✓ 	✗ 	✗ 	✗
Formation Battle In May 	✓ 	✗ 	✗ 	✗
Giant Gram: Zen Nihon Pro Wres 2 in Nihon Budoukan 	✓ 	✓ 	✗ 	✓
Giant Gram 2000: Zen Nihon Pro Wres 3 Eikou no Yuushatachi 	✓ 	✓ 	✗ 	✓
Guilty Gear X 	✓ 	✓ 	✗ 	✓
Idol Janshi Suchie-Pai III 	✓ 	✗ 	~ 	✗
Illmatic Envelope (Illvelo) 	✓ 	✓ 	✗ 	✓
Inu no Osanpo 	✓ 	✗ 	✗ 	✗
Jambo! Safari 	✓ 	✓ 	✗ 	✓
Kasei Channel Mars TV 	✓ 	✓ 	✗ 	✗
Mamoru-kun wa Norowarete Shimatta!
(Mamonoro) 	✓ 	✓ 	✗ 	✓
Manic Panic Ghosts 	✓ 	✓ 	✗ 	✗
Melty Blood: Actress Again 	✓ 	✓ 	✗ 	✓
Mushiking: The King of Beetles 	✓ 	✓ 	✗ 	✗
Outtrigger 	✓ 	✓ 	✗ 	✗
Pocket Shooting 	✓ 	✗ 	✗ 	✗
Puyo Puyo Da! Featuring Ellena System 	✓ 	✓ 	✗ 	✓
Puyo Pop Fever 	✓ 	✓ 	✗ 	✓
Puzzle Kurutto Stone 	✓ 	✗ 	✗ 	✗
Quiz Aa! Megami-sama/Quiz Ah My Goddess! 	✓ 	~ 	✗ 	✓
Radirgy Noa 	✓ 	✓ 	✗ 	✓
Rhythm Tengoku 	✓ 	✓ 	✗ 	✗
Ring Out 4x4 	✓ 	✓ 	✗ 	✗
Samba de Amigo 	✓ 	✓ 	✗ 	✓
Samba de Amigo Ver.2000 	✓ 	✓ 	✗ 	✓
Sega Marine Fishing 	✓ 	✓ 	✗ 	✓
Sega Tetris 	✓ 	✓ 	✗ 	✓
Shooting Love. 2007 	✓ 	✓ 	✗ 	✗
Slashout 	✓ 	✓ 	✗ 	✗
Tokyo Bus Guide 	✓ 	✓ 	✗ 	✓
